epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
222,690.013,0.05749,0.92105,1,0.71631,0.0078121,0.0078121,0.0078121
223,693.053,0.06277,0.91228,1,0.7489,0.0078022,0.0078022,0.0078022
224,696.055,0.06166,0.91228,1,0.7395,0.0077923,0.0077923,0.0077923
225,699.031,0.06854,0.91228,1,0.77081,0.0077824,0.0077824,0.0077824
226,702.003,0.06145,0.92982,1,0.6862,0.0077725,0.0077725,0.0077725
227,705.062,0.06538,0.92982,1,0.82255,0.0077626,0.0077626,0.0077626
228,708.058,0.06284,0.92982,1,0.81958,0.0077527,0.0077527,0.0077527
229,711.036,0.06609,0.92982,1,0.67404,0.0077428,0.0077428,0.0077428
230,714.306,0.08464,0.92105,1,0.71469,0.0077329,0.0077329,0.0077329
231,717.257,0.05792,0.92105,1,0.68115,0.007723,0.007723,0.007723
232,720.256,0.06047,0.91228,1,0.76764,0.0077131,0.0077131,0.0077131
233,723.24,0.04277,0.91228,1,0.94794,0.0077032,0.0077032,0.0077032
234,726.233,0.05615,0.91228,1,0.89301,0.0076933,0.0076933,0.0076933
235,729.475,0.06458,0.92105,1,0.95149,0.0076834,0.0076834,0.0076834
236,732.411,0.05621,0.92105,1,0.82935,0.0076735,0.0076735,0.0076735
237,735.387,0.05317,0.91228,1,0.79877,0.0076636,0.0076636,0.0076636
238,738.407,0.05508,0.92105,1,0.79887,0.0076537,0.0076537,0.0076537
239,741.428,0.05078,0.90351,1,0.84347,0.0076438,0.0076438,0.0076438
240,744.409,0.05986,0.90351,1,0.79529,0.0076339,0.0076339,0.0076339
241,747.354,0.05238,0.90351,1,0.79938,0.007624,0.007624,0.007624
242,750.375,0.04868,0.91228,1,0.8349,0.0076141,0.0076141,0.0076141
243,753.328,0.05639,0.92105,1,0.94623,0.0076042,0.0076042,0.0076042
244,756.32,0.04864,0.91228,1,0.74411,0.0075943,0.0075943,0.0075943
245,759.3,0.05444,0.92105,1,0.67622,0.0075844,0.0075844,0.0075844
246,762.302,0.05329,0.92105,1,0.72064,0.0075745,0.0075745,0.0075745
247,765.585,0.05426,0.91228,1,0.6955,0.0075646,0.0075646,0.0075646
248,768.576,0.06289,0.92982,1,0.70128,0.0075547,0.0075547,0.0075547
249,771.579,0.05799,0.92982,1,0.77698,0.0075448,0.0075448,0.0075448
250,774.515,0.06253,0.92982,1,0.77454,0.0075349,0.0075349,0.0075349
251,777.476,0.05924,0.92105,1,0.80005,0.007525,0.007525,0.007525
252,780.624,0.05306,0.92105,1,0.63651,0.0075151,0.0075151,0.0075151
253,783.563,0.04591,0.92105,1,0.68849,0.0075052,0.0075052,0.0075052
254,786.605,0.05488,0.92105,1,0.67387,0.0074953,0.0074953,0.0074953
255,789.598,0.04724,0.92105,1,0.85052,0.0074854,0.0074854,0.0074854
256,792.586,0.05686,0.92105,1,0.76709,0.0074755,0.0074755,0.0074755
257,795.615,0.05655,0.92105,1,0.84644,0.0074656,0.0074656,0.0074656
258,798.631,0.06427,0.92105,1,0.84449,0.0074557,0.0074557,0.0074557
259,801.71,0.05535,0.92105,1,0.73071,0.0074458,0.0074458,0.0074458
260,804.679,0.05995,0.92105,1,0.66436,0.0074359,0.0074359,0.0074359
261,807.659,0.06328,0.92105,1,0.78052,0.007426,0.007426,0.007426
262,810.665,0.04936,0.92105,1,0.78906,0.0074161,0.0074161,0.0074161
263,813.694,0.04765,0.92105,1,0.73486,0.0074062,0.0074062,0.0074062
264,816.732,0.06029,0.92105,1,0.70231,0.0073963,0.0073963,0.0073963
265,819.689,0.05862,0.92105,1,0.87546,0.0073864,0.0073864,0.0073864
266,822.678,0.04936,0.92105,1,0.74077,0.0073765,0.0073765,0.0073765
267,825.645,0.05367,0.92105,1,0.75653,0.0073666,0.0073666,0.0073666
268,828.661,0.05399,0.92105,1,0.83508,0.0073567,0.0073567,0.0073567
269,831.961,0.06147,0.92982,1,0.70277,0.0073468,0.0073468,0.0073468
270,834.933,0.04471,0.92982,1,0.85236,0.0073369,0.0073369,0.0073369
271,837.918,0.04959,0.92105,1,0.7756,0.007327,0.007327,0.007327
272,840.887,0.05243,0.92105,1,0.76941,0.0073171,0.0073171,0.0073171
273,843.821,0.04867,0.92105,1,0.69582,0.0073072,0.0073072,0.0073072
274,846.83,0.07646,0.92105,1,0.71414,0.0072973,0.0072973,0.0072973
275,849.823,0.07662,0.92982,1,0.71301,0.0072874,0.0072874,0.0072874
276,852.768,0.06235,0.92982,1,0.72342,0.0072775,0.0072775,0.0072775
277,855.743,0.05143,0.92982,1,0.83699,0.0072676,0.0072676,0.0072676
278,858.79,0.05808,0.92982,1,0.82922,0.0072577,0.0072577,0.0072577
279,861.771,0.04451,0.92105,1,0.79214,0.0072478,0.0072478,0.0072478
280,864.801,0.05374,0.92105,1,0.75354,0.0072379,0.0072379,0.0072379
281,867.9,0.04145,0.92105,1,0.78947,0.007228,0.007228,0.007228
282,870.89,0.04517,0.92105,1,0.7262,0.0072181,0.0072181,0.0072181
283,873.879,0.04405,0.92105,1,0.97608,0.0072082,0.0072082,0.0072082
284,876.886,0.04911,0.92105,1,0.67687,0.0071983,0.0071983,0.0071983
285,879.844,0.0474,0.92105,1,0.79851,0.0071884,0.0071884,0.0071884
286,883.14,0.04378,0.92105,1,0.68085,0.0071785,0.0071785,0.0071785
287,886.107,0.05439,0.92982,1,0.76733,0.0071686,0.0071686,0.0071686
288,889.075,0.07007,0.92982,1,0.73761,0.0071587,0.0071587,0.0071587
289,892.041,0.05598,0.92982,1,0.69529,0.0071488,0.0071488,0.0071488
290,895.09,0.04504,0.92982,1,0.72632,0.0071389,0.0071389,0.0071389
291,898.059,0.05885,0.92982,1,0.74878,0.007129,0.007129,0.007129
292,901.121,0.05294,0.92105,1,0.76429,0.0071191,0.0071191,0.0071191
293,904.247,0.06634,0.92105,1,0.67676,0.0071092,0.0071092,0.0071092
294,907.251,0.05713,0.92105,1,0.72808,0.0070993,0.0070993,0.0070993
295,910.322,0.03656,0.92105,1,0.68546,0.0070894,0.0070894,0.0070894
296,913.284,0.061,0.92105,1,0.68897,0.0070795,0.0070795,0.0070795
297,916.357,0.05789,0.92105,1,0.71338,0.0070696,0.0070696,0.0070696
298,919.3,0.05456,0.92105,1,0.96651,0.0070597,0.0070597,0.0070597
299,922.331,0.05535,0.92105,1,0.86138,0.0070498,0.0070498,0.0070498
300,925.397,0.05017,0.92105,1,0.77626,0.0070399,0.0070399,0.0070399
301,928.37,0.05244,0.92105,1,0.85639,0.00703,0.00703,0.00703
302,931.385,0.04247,0.92105,1,0.75269,0.0070201,0.0070201,0.0070201
303,934.459,0.04594,0.92105,1,0.86292,0.0070102,0.0070102,0.0070102
304,937.481,0.04509,0.92105,1,0.75311,0.0070003,0.0070003,0.0070003
305,940.46,0.03063,0.92105,1,0.89026,0.0069904,0.0069904,0.0069904
306,943.487,0.03662,0.92105,1,0.7232,0.0069805,0.0069805,0.0069805
307,946.49,0.03445,0.92105,1,0.76664,0.0069706,0.0069706,0.0069706
308,949.893,0.05205,0.92105,1,0.90405,0.0069607,0.0069607,0.0069607
309,952.943,0.04796,0.92105,1,0.70417,0.0069508,0.0069508,0.0069508
310,955.983,0.05094,0.92105,1,0.84229,0.0069409,0.0069409,0.0069409
311,958.939,0.04086,0.92105,1,0.72556,0.006931,0.006931,0.006931
312,961.916,0.05337,0.92105,1,0.90411,0.0069211,0.0069211,0.0069211
313,965.168,0.05344,0.92105,1,0.71107,0.0069112,0.0069112,0.0069112
